Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
769,Ashnoor Textile Mills Ltd.,201403,Indian Private Sector,1984,67.13,45.19,19.89,2.05,65.08,21.94,3%,,17%
770,Ashok Alco-Chem Ltd.,201403,Indian Private Sector,1992,224.39,139.29,77.81,7.29,217.10,85.10,3%,0.00%,57%
771,Ashok Leyland Ltd.,201403,Foreign Private Sector,1948,10387.92,7698.10,2956.62,-266.80,10654.72,2689.82,-3%,1.89%,29%
772,Ashok Leyland Nissan Vehicles Ltd.,201403,Foreign Private Sector,2008,1033.09,967.71,217.49,-152.11,1185.20,65.38,-15%,,5%
773,Ashoka Belgaum Dharwad Tollway Ltd.,201403,Indian Private Sector,2010,5.19,0.02,1.58,3.59,1.60,5.17,69%,100.00%,1%
774,Ashoka Buildcon Ltd.,201403,Indian Private Sector,1993,1612.53,613.37,844.12,155.04,1457.49,999.16,10%,94.98%,0%
775,Ashoka Concessions Ltd.,201403,Indian Private Sector,2011,13.96,0.03,17.29,-3.36,17.32,13.93,-24%,100.00%,1%
776,Ashoka Dhankuni Kharagpur Tollway Ltd.,201403,Indian Private Sector,2011,,,,,,,,,0%
777,Ashoka Highways (Bhandara) Ltd.,201403,Indian Private Sector,2007,48.34,0.01,38.42,9.91,38.43,48.33,21%,100.00%,0%
778,Ashoka Highways (Durg) Ltd.,201403,Indian Private Sector,2007,65.05,0.02,40.31,24.72,40.33,65.03,38%,100.00%,0%
779,Ashoka Infrastructure Ltd.,201403,Indian Private Sector,2002,22.60,0.30,23.71,-1.41,24.01,22.30,-6%,99.96%,0%
780,Ashoka Infraways Ltd.,201403,Indian Private Sector,2001,20.67,-20.29,28.41,12.55,8.12,40.96,61%,97.68%,0%
781,Ashoka Pre-Con Pvt. Ltd.,201403,Indian Private Sector,2008,1.63,0.82,1.12,-0.31,1.94,0.81,-19%,9.82%,0%
782,Ashoka Realty & Developers Ltd.,201403,Indian Private Sector,2008,,0.00,,0.00,0.00,0.00,,,0%
783,Ashoka Refineries Ltd.,201403,Indian Private Sector,1991,0.02,,0.01,0.01,0.01,0.02,50%,100.00%,0%
784,Ashoka Sambalpur Baragarh Tollway Ltd.,201403,Indian Private Sector,2010,,,,,,,,,0%
785,Ashoka Technologies Pvt. Ltd.,201403,Indian Private Sector,2008,0.52,0.24,0.22,0.06,0.46,0.28,12%,0.00%,0%
786,Ashoka-D S C Katni Bypass Road Ltd.,201403,Indian Private Sector,2002,16.61,0.02,12.75,3.84,12.77,16.59,23%,100.00%,0%
787,Ashram Online.Com Ltd.,201403,Indian Private Sector,1991,,,0.21,-0.21,0.21,,,,0%
788,Asia Automotive Ltd.,201403,Indian Private Sector,1979,4.15,2.04,1.99,0.12,4.03,2.11,3%,14.46%,4%
789,Asia Capital Ltd.,201403,Indian Private Sector,1983,,,0.03,-0.03,0.03,,,,0%
790,Asia Pack Ltd.,201403,Indian Private Sector,1985,0.00,0.00,0.41,-0.41,0.41,0.00,,,0%
791,Asian Alloys Ltd.,201403,Indian Private Sector,1985,,0.00,0.38,-0.38,0.38,0.00,,,0%
792,Asian Fertilizers Ltd.,201403,Indian Private Sector,1986,49.16,36.00,11.45,1.71,47.45,13.16,3%,,15%
793,Asian Films Production & Distribution Ltd.,201309,Indian Private Sector,1995,,,0.05,-0.05,0.05,,,,0%
794,Asian Food Products Ltd.,201403,Indian Private Sector,1968,,,0.01,-0.01,0.01,,,,0%
795,Asian Granito India Ltd.,201403,Indian Private Sector,1995,757.98,487.72,227.97,42.29,715.69,270.26,6%,0.02%,13%
796,Asian Hotels (East) Ltd.,201403,Indian Private Sector,2007,91.12,0.65,74.68,15.79,75.33,90.47,17%,100.02%,22%
797,Asian Hotels (North) Ltd.,201403,Indian Private Sector,1980,256.78,8.65,192.63,55.50,201.28,248.13,22%,87.88%,14%
798,Asian Hotels (West) Ltd.,201403,Indian Private Sector,2007,129.28,2.82,102.03,24.43,104.85,126.46,19%,100.05%,23%
799,Asian I T Education Pvt. Ltd.,201403,Indian Private Sector,2000,,,0.04,-0.04,0.04,,,,0%
800,Asian Oilfield Services Ltd.,201403,Foreign Private Sector,1992,19.98,2.18,41.42,-23.62,43.60,17.80,-118%,101.20%,14%
801,Asian Paints Indl. Coatings Ltd.,201403,Indian Private Sector,2001,8.43,1.15,10.95,-3.67,12.10,7.28,-44%,99.88%,54%
802,Asian Paints Ltd.,201403,Indian Private Sector,1945,10949.44,5985.60,3359.82,1604.02,9345.42,4963.84,15%,0.76%,50%
803,Asian Peroxide Ltd.,201403,Indian Private Sector,1986,32.92,27.75,16.18,-11.01,43.93,5.17,-33%,0.00%,16%
804,Asian Star Co. Ltd.,201403,Indian Private Sector,1995,2288.25,1953.86,251.59,82.80,2205.45,334.39,4%,0.02%,1%
805,Asian Star Jewels Pvt. Ltd.,201403,Indian Private Sector,2008,116.49,95.59,13.78,7.12,109.37,20.90,6%,,3%
806,Asian Tea & Exports Ltd.,201403,Indian Private Sector,1987,59.59,57.57,1.27,0.75,58.84,2.02,1%,0.00%,0%
807,Asian Vegpro Inds. Ltd.,201403,Indian Private Sector,1994,0.00,,0.40,-0.40,0.40,0.00,,,0%
808,Asianet Communications Ltd.,201403,Indian Private Sector,1997,530.71,0.30,293.88,236.53,294.18,530.41,45%,99.82%,3%
809,Asianet Satellite Communications Ltd.,201403,Indian Private Sector,1992,282.35,0.91,242.90,38.54,243.81,281.44,14%,99.24%,5%
810,Asiatic Oxygen Ltd.,201403,Indian Private Sector,1961,5.92,3.77,3.74,-1.59,7.51,2.15,-27%,,0%
811,Asim Exports International Ltd.,201403,Indian Private Sector,1981,,,,,,,,,0%
812,Asis Logistics Ltd.,201403,Indian Private Sector,1972,37.24,0.00,43.08,-5.84,43.08,37.24,-16%,100.00%,0%
813,Asit C Mehta Invst. Interrmediates Ltd.,201403,Indian Private Sector,1993,20.61,0.14,22.83,-2.36,22.97,20.47,-11%,,16%
814,Asit C. Mehta Financial Services Ltd.,201403,Indian Private Sector,1984,0.68,0.28,1.61,-1.21,1.89,0.40,-178%,100.00%,0%
815,Asman Investments Ltd.,201403,Indian Private Sector,1981,7.86,5.67,1.33,0.86,7.00,2.19,11%,0.00%,0%
816,Asmi Jewellery India Ltd.,201403,Indian Private Sector,2005,1153.48,1080.20,26.22,47.06,1106.42,73.28,4%,0.00%,2%
817,Aspinwall & Co. Ltd.,201403,Indian Private Sector,1920,195.19,83.40,100.51,11.28,183.91,111.79,6%,35.50%,9%
818,Aspinwall Geotech Ltd.,201403,Indian Private Sector,1994,0.97,,0.02,0.95,0.02,0.97,98%,,0%
819,Aspire Fitness Pvt. Ltd.,201403,Indian Private Sector,2009,9.98,-0.65,8.36,2.27,7.71,10.63,23%,100.00%,9%
820,Asrec (India) Ltd.,201403,Indian Private Sector,2003,18.57,0.17,7.80,10.60,7.97,18.40,57%,99.68%,0%
821,Assam Carbon Products Ltd.,201403,Foreign Private Sector,1963,36.33,13.81,26.63,-4.11,40.44,22.52,-11%,0.00%,2%
822,Assam Company India Ltd.,201312,Foreign Private Sector,1977,243.33,2.77,201.45,39.11,204.22,240.56,16%,,16%
823,Assam Financial Corpn.,201403,State Government,1954,1.07,0.00,8.26,-7.19,8.26,1.07,-672%,0.00%,3%
824,Assam Oil & Gas Ltd.,201312,Foreign Private Sector,1992,,,,,,,,,0%
825,Assam Petrochemicals Ltd.,201403,State Government,1971,98.15,34.54,58.20,5.41,92.74,63.61,6%,,8%
826,Assam Roofing Ltd.,201403,Indian Private Sector,1972,310.05,272.97,26.67,10.41,299.64,37.08,3%,0.00%,4%
827,Assambrook Ltd.,201403,Indian Private Sector,1947,43.55,12.58,30.48,0.49,43.06,30.97,1%,1.52%,12%
828,Asset Reconstruction Co. (India) Ltd.,201403,Indian Private Sector,2002,91.16,1.03,101.65,-11.52,102.68,90.13,-13%,,1%
829,Assets Care & Reconstruction Enterprise Ltd.,201403,Indian Private Sector,2002,17.67,,4.52,13.15,4.52,17.67,74%,,0%
830,Associated Alcohols & Breweries Ltd.,201403,Indian Private Sector,1989,213.18,135.88,65.65,11.65,201.53,77.30,5%,0.36%,20%
831,Associated Auto Parts Pvt. Ltd.,201403,Indian Private Sector,1944,85.06,70.88,8.74,5.44,79.62,14.18,6%,4.55%,13%
832,Associated Ceramics Ltd.,201403,Indian Private Sector,1970,18.07,14.30,3.84,-0.07,18.14,3.77,0%,,4%
833,Associated Industries Consumer Products Pvt. Ltd.,201403,Indian Private Sector,2007,8.81,5.86,1.97,0.98,7.83,2.95,11%,1.70%,5%
834,Associated Marmo & Granites Ltd.,201403,Indian Private Sector,1980,7.30,6.00,1.39,-0.09,7.39,1.30,-1%,,0%
835,Associated Pigments Ltd.,201403,Indian Private Sector,1948,79.87,70.63,7.23,2.01,77.86,9.24,3%,0.19%,1%
836,Associated Road Carriers Ltd.,201403,Indian Private Sector,1972,1116.27,4.15,1038.59,73.53,1042.74,1112.12,7%,100.00%,2%
837,Associated Stone Inds. (Kotah) Ltd.,201403,Indian Private Sector,1945,130.74,26.10,85.90,18.74,112.00,104.64,14%,10.45%,8%
838,Astec Crop Care Pvt. Ltd.,201403,Indian Private Sector,2010,17.65,13.13,3.26,1.26,16.39,4.52,7%,1.47%,15%
839,Astec Lifesciences Ltd.,201403,Indian Private Sector,1994,189.47,126.20,44.38,18.89,170.58,63.27,10%,,5%
840,Aster Rail Pvt. Ltd.,201403,Indian Private Sector,2007,5.29,4.73,2.19,-1.63,6.92,0.56,-31%,98.11%,0%
841,Astra Microwave Products Ltd.,201403,Indian Private Sector,1991,524.46,349.91,99.09,75.46,449.00,174.55,14%,0.55%,4%
842,Astral Biochem Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
843,Astral Poly Technik Ltd.,201403,Indian Private Sector,1996,1070.71,791.38,172.01,107.32,963.39,279.33,10%,,15%
844,Astrazeneca Pharma India Ltd.,201403,Foreign Private Sector,1979,473.44,172.98,322.11,-21.65,495.09,300.46,-5%,6.80%,40%
845,Astrix Laboratories Ltd.,201403,Foreign Private Sector,2005,361.86,289.89,88.77,-16.80,378.66,71.97,-5%,5.57%,1%
846,Asutosh Enterprises Ltd.,201403,Indian Private Sector,1981,,0.00,0.07,-0.07,0.07,0.00,,,0%
847,Asya Infosoft Ltd.,201403,Indian Private Sector,1985,0.21,,0.11,0.10,0.11,0.21,48%,100.00%,14%
848,Atcomaart Services Ltd.,201403,Indian Private Sector,2004,88.55,88.16,0.55,-0.16,88.71,0.39,0%,100.00%,0%
849,Atharv Enterprises Ltd.,201403,Indian Private Sector,1990,4.22,4.14,1.01,-0.93,5.15,0.08,-22%,0.00%,6%
850,Athena Constructions Ltd.,201403,Indian Private Sector,2011,1.19,0.00,1.73,-0.54,1.73,1.19,-45%,106.72%,16%
851,Athena Infrastructure Ltd.,201403,Indian Private Sector,2006,282.31,157.13,38.70,86.48,195.83,125.18,31%,99.49%,38%
852,Atishay Infotech Ltd.,201403,Indian Private Sector,2000,14.84,0.03,11.79,3.02,11.82,14.81,20%,100.00%,0%
853,Atlanta Devcon Ltd.,201403,Indian Private Sector,1994,,0.00,0.03,-0.03,0.03,0.00,,,0%
854,Atlanta Hotels Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
855,Atlanta Infra Assets Ltd.,201403,Indian Private Sector,2005,42.57,0.14,9.02,33.41,9.16,42.43,78%,99.67%,0%
856,Atlanta Infrastructure & Finance Ltd.,201403,Indian Private Sector,1992,0.00,0.03,0.12,-0.15,0.15,-0.03,,,0%
857,Atlanta Ltd.,201403,Indian Private Sector,1984,312.06,43.53,196.59,71.94,240.12,268.53,23%,100.01%,0%
858,Atlanta Ropar Tollways Pvt. Ltd.,201403,Indian Private Sector,2011,2.59,,2.59,0.00,2.59,2.59,0%,100.00%,0%
859,Atlanta Tourism Ventures Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
860,Atlas Copco (India) Ltd.,201403,Foreign Private Sector,1960,2615.52,1596.59,642.83,376.10,2239.42,1018.93,14%,12.28%,8%
861,Atlas Cycles (Haryana) Ltd.,201403,Indian Private Sector,1950,672.36,543.14,136.60,-7.38,679.74,129.22,-1%,0.00%,19%
862,Atlas Cycles (Malanpur) Ltd.,201403,Indian Private Sector,1999,,,,,,,,,0%
863,Atlas Cycles (Sahibabad) Ltd.,201403,Indian Private Sector,1999,,,,,,,,,0%
864,Atlas Cycles (Sonepat) Ltd.,201403,Indian Private Sector,1999,,,,,,,,,0%
865,Atlas Jewellery India Ltd.,201403,Indian Private Sector,1989,72.97,67.18,2.76,3.03,69.94,5.79,4%,0.00%,3%
866,Atled Technologies Pvt. Ltd.,201403,Indian Private Sector,2011,1.57,0.18,2.30,-0.91,2.48,1.39,-58%,84.71%,0%
867,Atma Steels Ltd.,201403,Indian Private Sector,1970,0.12,0.02,0.27,-0.17,0.29,0.10,-142%,,0%
868,Atna Investments Ltd.,201403,Indian Private Sector,1989,,,0.01,-0.01,0.01,,,,0%
869,Atom Technologies Ltd.,201403,Indian Private Sector,2005,17.71,0.08,24.62,-6.99,24.70,17.63,-39%,98.93%,16%
870,Atotech India Ltd.,201312,Foreign Private Sector,1996,149.00,70.78,66.27,11.95,137.05,78.22,8%,,4%
871,Attest Testing Services Ltd.,201403,Indian Private Sector,2004,18.85,0.06,18.65,0.14,18.71,18.79,1%,96.98%,0%
872,Attivo Economic Zone (Mumbai) Pvt. Ltd.,201403,Indian Private Sector,2008,0.04,,0.01,0.03,0.01,0.04,75%,100.00%,0%
873,Attivo Economic Zones Ltd.,201403,Indian Private Sector,1995,,,0.10,-0.10,0.10,,,,0%
874,Attunli Hydro Electric Power Co. Ltd.,201403,Indian Private Sector,2009,,,,,,,,,0%
875,Atul Auto Ltd.,201403,Indian Private Sector,1986,430.51,329.36,60.70,40.45,390.06,101.15,9%,,8%
876,Atul Bio Space Ltd.,201403,Indian Private Sector,2005,5.19,4.62,0.37,0.20,4.99,0.57,4%,,0%
877,Atul Bioscience Ltd.,201403,Indian Private Sector,1997,35.71,20.05,9.07,6.59,29.12,15.66,18%,3.84%,3%
878,Atul Finserv Ltd.,201403,Indian Private Sector,1947,0.59,,0.48,0.11,0.48,0.59,19%,100.00%,0%
879,Atul Infotech Pvt. Ltd.,201403,Indian Private Sector,2000,2.83,,2.69,0.14,2.69,2.83,5%,100.00%,0%
880,Atul Ltd.,201403,Indian Private Sector,1975,2371.69,1313.94,761.13,296.62,2075.07,1057.75,13%,0.27%,8%
881,Atul Rajasthan Date Palms Ltd.,201403,Indian Private Sector,2009,,-2.84,3.49,-0.65,0.65,2.84,,,0%
882,Au Bon Pain Cafe India Ltd.,201403,Indian Private Sector,2008,13.21,6.73,18.92,-12.44,25.65,6.48,-94%,,26%
883,Auckland International Ltd.,201403,Indian Private Sector,1977,120.82,67.74,51.12,1.96,118.86,53.08,2%,0.00%,3%
884,Audit Bureau Of Circulations,201403,Indian Private Sector,1948,1.64,,1.99,-0.35,1.99,1.64,-21%,100.00%,0%
885,August Agents Ltd.,201403,Indian Private Sector,1996,0.00,,0.03,-0.03,0.03,0.00,,,0%
886,Aunde India Ltd.,201306,Indian Private Sector,1997,114.12,72.16,30.36,11.60,102.52,41.96,10%,0.42%,15%
887,Aura Nutraceuticals Ltd.,201403,Indian Private Sector,2001,8.60,5.47,2.88,0.25,8.35,3.13,3%,0.00%,36%
888,Aurangabad - Jalna Toll Way Ltd.,201403,Indian Private Sector,2007,27.95,0.03,25.06,2.86,25.09,27.92,10%,100.00%,1%
889,Aurangabad Electricals Ltd.,201403,Indian Private Sector,1985,605.54,423.88,150.75,30.91,574.63,181.66,5%,0.13%,1%
890,Aurangabad Paper Mills Ltd.,201403,Indian Private Sector,1974,0.00,0.03,0.43,-0.46,0.46,-0.03,,,0%
891,Aurangabad Textiles & Apparel Parks Ltd.,201403,Central Government,2007,60.61,57.72,2.27,0.62,59.99,2.89,1%,1.35%,0%
892,Aurica Laminates Ltd.,201403,Indian Private Sector,1986,,,0.00,0.00,0.00,,,,0%
893,Aurigene Discovery Technologies Ltd.,201403,Indian Private Sector,2001,132.00,0.07,123.24,8.69,123.31,131.93,7%,99.55%,14%
894,Aurionpro Solutions Ltd.,201403,Indian Private Sector,1997,228.32,129.40,90.94,7.98,220.34,98.92,3%,43.24%,0%
895,Auro Laboratories Ltd.,201403,Indian Private Sector,1989,33.75,24.91,6.80,2.04,31.71,8.84,6%,0.00%,6%
896,Auro Peptides Ltd.,201403,Indian Private Sector,2012,0.00,0.00,0.00,0.00,0.00,0.00,,,0%
897,Auro Sundaram Ply & Doors Pvt. Ltd.,201403,Indian Private Sector,2005,57.52,47.92,7.32,2.28,55.24,9.60,4%,,0%
898,Auro Zymes Ltd.,201403,Indian Private Sector,2013,,,0.00,0.00,0.00,,,,0%
899,Aurobindo Antibiotics Ltd.,201403,Indian Private Sector,2012,,,0.00,0.00,0.00,,,,0%
900,Aurobindo Pharma Ltd.,201403,Indian Private Sector,1986,7171.83,3715.49,1776.99,1679.35,5492.48,3456.34,23%,0.19%,7%
901,Auroma Coke Ltd.,201403,Indian Private Sector,1993,18.91,12.83,4.18,1.90,17.01,6.08,10%,0.00%,19%
902,Auronext Pharma Pvt. Ltd.,201403,Indian Private Sector,2009,7.57,4.76,14.55,-11.74,19.31,2.81,-155%,1.59%,6%
903,Aurum Soft Systems Ltd.,201403,Indian Private Sector,1994,12.83,0.01,13.18,-0.36,13.19,12.82,-3%,96.18%,0%
904,Ausom Enterprise Ltd.,201403,Indian Private Sector,1984,291.06,298.80,4.12,-11.86,302.92,-7.74,-4%,0.00%,0%
905,Auspicious Real Estate Ltd.,201403,Indian Private Sector,2013,,,,,,,,,0%
906,Austin Engineering Co. Ltd.,201403,Indian Private Sector,1978,87.57,45.51,37.54,4.52,83.05,42.06,5%,0.09%,9%
907,Australia & New Zealand Banking Group Ltd.,201403,Foreign Private Sector,2017,22.20,,167.95,-145.75,167.95,22.20,-657%,,6%
908,Authum Investment & Infrastructure Ltd.,201403,Indian Private Sector,1982,0.05,0.01,0.09,-0.05,0.10,0.04,-100%,,0%
909,Auto Aircon (India) Ltd.,201403,Indian Private Sector,1995,,,,,,,,,0%
910,Auto Pins (India) Ltd.,201306,Indian Private Sector,1975,16.89,12.43,4.18,0.28,16.61,4.46,2%,,11%
911,Autoline Design Software Ltd.,201403,Indian Private Sector,2004,3.73,1.05,2.54,0.14,3.59,2.68,4%,67.29%,0%
912,Autoline Industrial Parks Ltd.,201403,Indian Private Sector,2007,,,0.34,-0.34,0.34,,,,0%
913,Autoline Industries Ltd.,201403,Indian Private Sector,1996,403.76,310.60,108.30,-15.14,418.90,93.16,-4%,,3%
914,Autolite (India) Ltd.,201403,Indian Private Sector,1977,102.23,67.98,31.19,3.06,99.17,34.25,3%,0.19%,13%
915,Autometers Alliance Ltd.,201403,Indian Private Sector,1995,166.37,96.27,63.65,6.45,159.92,70.10,4%,11.50%,2%
916,Automobile Corpn. Of Goa Ltd.,201403,Indian Private Sector,1980,303.23,213.88,70.65,18.70,284.53,89.35,6%,,1%
917,Automobile Products Of India Ltd.,201403,Indian Private Sector,1949,3.88,3.21,0.51,0.16,3.72,0.67,4%,13.14%,6%
918,Automotive Axles Ltd.,201309,Indian Private Sector,1981,668.42,496.48,145.75,26.19,642.23,171.94,4%,,1%
919,Automotive Coaches & Components Ltd.,201403,Foreign Private Sector,1980,29.22,25.75,19.76,-16.29,45.51,3.47,-56%,0.00%,0%
920,Automotive Stampings & Assemblies Ltd.,201403,Indian Private Sector,1990,341.58,266.87,80.32,-5.61,347.19,74.71,-2%,1.14%,1%
921,Autopal Industries Ltd.,201403,Indian Private Sector,1985,27.73,18.50,7.26,1.97,25.76,9.23,7%,0.00%,4%
922,Autoriders Finance Ltd.,201403,Indian Private Sector,1985,,,0.04,-0.04,0.04,,,,0%
923,Autoriders International Ltd.,201403,Indian Private Sector,1985,47.37,0.03,46.33,1.01,46.36,47.34,2%,99.94%,5%
924,Autumn Builders Ltd.,201403,Indian Private Sector,2009,0.52,0.02,0.45,0.05,0.47,0.50,10%,92.31%,0%
925,Auxin Engineering Ltd.,201403,Indian Private Sector,2011,,,,,,,,,0%
926,Avadh Mercantile Co. Ltd.,201403,Indian Private Sector,1982,,,0.05,-0.05,0.05,,,,0%
927,Available Finance Ltd.,201403,Indian Private Sector,1993,0.00,0.01,0.24,-0.25,0.25,-0.01,,,0%
928,Avance Technologies Ltd.,201403,Indian Private Sector,1985,88.57,88.44,0.15,-0.02,88.59,0.13,0%,0.00%,0%
929,Avantel Ltd.,201403,Indian Private Sector,1990,13.00,-3.12,15.94,0.18,12.82,16.12,1%,25.54%,11%
930,Avantha Technologies Ltd.,201403,Indian Private Sector,2004,0.32,0.01,0.29,0.02,0.30,0.31,6%,96.88%,0%
931,Avanti Feeds Ltd.,201403,Indian Private Sector,1993,1133.05,880.44,145.06,107.55,1025.50,252.61,9%,,14%
932,Avanti Leathers Ltd.,201403,Indian Private Sector,1976,7.82,4.12,3.37,0.33,7.49,3.70,4%,76.73%,2%
933,Avenue Supermarts Ltd.,201403,Indian Private Sector,2000,4688.75,4007.57,393.22,287.96,4400.79,681.18,6%,0.23%,2%
934,Avery India Ltd.,201403,Foreign Private Sector,1947,84.41,37.82,33.20,13.39,71.02,46.59,16%,23.35%,2%
935,Aviva Industries Ltd.,201403,Indian Private Sector,1983,,,0.00,0.00,0.00,,,,0%
936,Avon Lifesciences Ltd.,201403,Indian Private Sector,1993,59.48,47.97,25.58,-14.07,73.55,11.51,-24%,15.62%,5%
937,Avonmore Capital & Mgmt. Services Ltd.,201403,Indian Private Sector,1991,0.01,0.04,0.33,-0.36,0.37,-0.03,-3600%,,0%
938,Avro Commercial Co. Ltd.,201403,Indian Private Sector,1983,0.18,,0.35,-0.17,0.35,0.18,-94%,,0%
939,Awa Power Co. Pvt. Ltd.,201403,Indian Private Sector,2001,,0.01,0.04,-0.05,0.05,-0.01,,,0%
940,Axel Polymers Ltd.,201403,Indian Private Sector,1992,5.52,5.02,1.49,-0.99,6.51,0.50,-18%,6.16%,4%
941,Axiom Cordages Ltd.,201403,Indian Private Sector,1999,673.70,572.53,64.90,36.27,637.43,101.17,5%,,2%
942,Axis Asset Mgmt. Co. Ltd.,201403,Indian Private Sector,2009,85.97,0.00,59.48,26.49,59.48,85.97,31%,2.72%,1%
943,Axis Bank Ltd.,201403,Indian Private Sector,1993,7026.13,,10222.82,-3196.69,10222.82,7026.13,-45%,,4%
944,Axis Capital Ltd.,201403,Indian Private Sector,2005,173.04,1.48,86.24,85.32,87.72,171.56,49%,30.73%,1%
945,Axis Crop Science Pvt. Ltd.,201403,Indian Private Sector,2009,24.48,17.74,6.20,0.54,23.94,6.74,2%,0.00%,39%
946,Axis Equities Pvt. Ltd.,201403,Indian Private Sector,1997,0.23,,1.98,-1.75,1.98,0.23,-761%,,16%
947,Axis Finance Ltd.,201403,Indian Private Sector,1995,18.78,0.00,10.15,8.63,10.15,18.78,46%,21.25%,0%
948,Axis Mutual Fund Trustee Ltd.,201403,Indian Private Sector,2009,0.18,,0.15,0.03,0.15,0.18,17%,,0%
949,Axis Private Equity Ltd.,201403,Indian Private Sector,2006,4.17,,1.43,2.74,1.43,4.17,66%,,0%
950,Axis Rail India Ltd.,201403,Indian Private Sector,1983,,,0.01,-0.01,0.01,,,,0%
951,Axis Securities Ltd.,201403,Indian Private Sector,2006,302.60,1.60,296.69,4.31,298.29,301.00,1%,0.11%,1%
952,Axis Trustee Services Ltd.,201403,Indian Private Sector,2008,24.31,0.23,5.78,18.30,6.01,24.08,75%,,0%
953,Axis Wealth Mgmt. Pvt. Ltd.,201403,Indian Private Sector,1992,,,0.00,0.00,0.00,,,,0%
954,Axiscades Engineering Technologies Ltd.,201403,Indian Private Sector,1990,181.92,0.29,168.50,13.13,168.79,181.63,7%,99.54%,1%
955,Axles India Ltd.,201403,Indian Private Sector,1981,331.16,217.94,105.23,7.99,323.17,113.22,2%,0.00%,11%
956,Axon Finance Ltd.,201403,Indian Private Sector,1982,0.00,0.00,0.13,-0.13,0.13,0.00,,,0%
957,Axtel Industries Ltd.,201403,Indian Private Sector,1991,48.29,21.15,20.85,6.29,42.00,27.14,13%,,3%
958,Ayepee Lamitubes Ltd.,201403,Indian Private Sector,1984,0.31,,0.07,0.24,0.07,0.31,77%,,0%
959,Ayer Manis Rubber Estate Ltd.,201403,Indian Private Sector,1937,14.61,1.51,6.90,6.20,8.41,13.10,42%,,10%
960,Ayoki Merchantile Ltd.,201403,Indian Private Sector,1985,,,0.02,-0.02,0.02,,,,0%
961,Ayurvedagram Heritage Wellness Center Pvt. Ltd.,201403,Indian Private Sector,2003,5.64,0.03,4.44,1.17,4.47,5.61,21%,100.00%,44%
962,Ayyappa Hydro Power Ltd.,201403,Indian Private Sector,2005,6.20,0.32,4.88,1.00,5.20,5.88,16%,,4%
963,B & A Ltd.,201403,Indian Private Sector,1915,100.84,27.64,56.44,16.76,84.08,73.20,17%,0.00%,12%
964,B & A Packaging India Ltd.,201403,Indian Private Sector,1986,39.58,28.48,6.61,4.49,35.09,11.10,11%,,5%
965,B & B Realty Ltd.,201403,Indian Private Sector,1983,0.23,0.03,0.10,0.10,0.13,0.20,43%,100.00%,13%
966,B & M Trading & Invst. Co. Ltd.,201403,Indian Private Sector,1980,,,0.01,-0.01,0.01,,,,0%
967,B 2 B Software Technologies Ltd.,201403,Foreign Private Sector,1994,4.73,0.02,4.33,0.38,4.35,4.71,8%,100.00%,1%
968,B A G Films & Media Ltd.,201403,Indian Private Sector,1993,56.51,-5.77,56.42,5.86,50.65,62.28,10%,88.62%,9%
969,B A S F India Ltd.,201403,Foreign Private Sector,1943,4418.70,3150.21,1058.66,209.83,4208.87,1268.49,5%,4.16%,9%
970,B B B Realty Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
971,B B Commercial Ltd.,201403,Indian Private Sector,1980,0.15,,0.07,0.08,0.07,0.15,53%,100.00%,0%
972,B C B Finance Ltd.,201403,Indian Private Sector,2005,,,1.16,-1.16,1.16,,,,0%
973,B C C Fuba India Ltd.,201403,Indian Private Sector,1985,5.57,3.91,2.88,-1.22,6.79,1.66,-22%,8.26%,2%
974,B C L Industries & Infrastructures Ltd.,201403,Foreign Private Sector,1976,636.45,519.62,99.32,17.51,618.94,116.83,3%,5.28%,4%
975,B C Power Controls Ltd.,201403,Indian Private Sector,2008,152.75,146.57,4.58,1.60,151.15,6.18,1%,0.16%,3%
976,B D A Pvt. Ltd.,201403,Indian Private Sector,1986,,,,,,,,,0%
977,B D H Industries Ltd.,201403,Indian Private Sector,1990,42.37,26.95,12.72,2.70,39.67,15.42,6%,0.14%,25%
978,B D R Buildcon Ltd.,201403,Indian Private Sector,2010,0.17,0.00,0.03,0.14,0.03,0.17,82%,100.00%,0%
979,B E L Optronic Devices Ltd.,201403,Central Government,1990,169.85,159.44,32.93,-22.52,192.37,10.41,-13%,0.34%,2%
980,B E M L Ltd.,201403,Central Government,1964,2959.59,1731.92,1113.91,113.76,2845.83,1227.67,4%,7.14%,4%
